"visit_date","utm_source","utm_medium","utm_campaign","cpu"
"2023-06-21",vk,cpc,freemium-java,422.83
"2023-06-21",vk,cpc,freemium-frontend,362.43
"2023-06-21",vk,cpc,prof-python,327.22
"2023-06-21",yandex,cpc,prof-python,302.19
"2023-06-21",yandex,cpc,prof-java,231.30
"2023-06-21",yandex,cpc,dod-python-java,167.17
"2023-06-21",yandex,cpc,prof-data-analytics,122.50
"2023-06-21",yandex,cpc,base-python,107.75
"2023-06-21",yandex,cpc,prof-professions-brand,102.86
"2023-06-21",yandex,cpc,base-java,87.41
"2023-06-21",yandex,cpc,freemium,84.32
"2023-06-21",yandex,cpc,prof-professions-retarget,34.96
"2023-06-22",vk,cpc,prof-data-analytics,662.67
"2023-06-22",vk,cpc,freemium-python,624.00
"2023-06-22",vk,cpc,freemium-java,536.00
"2023-06-22",vk,cpc,prof-frontend,526.29
"2023-06-22",yandex,cpc,dod-python-java,498.80
"2023-06-22",yandex,cpc,prof-frontend,399.86
"2023-06-22",vk,cpc,prof-python,325.00
"2023-06-22",vk,cpc,prof-java,324.85
"2023-06-22",yandex,cpc,prof-python,310.30
"2023-06-22",vk,cpc,freemium-frontend,291.44
"2023-06-22",yandex,cpc,prof-java,278.15
"2023-06-22",yandex,cpc,base-java,124.02
"2023-06-22",yandex,cpc,prof-professions-brand,101.49
"2023-06-22",yandex,cpc,base-python,61.32
"2023-06-22",yandex,cpc,freemium,58.49
"2023-06-22",yandex,cpc,prof-professions-retarget,56.47
"2023-06-22",yandex,cpc,prof-data-analytics,50.41
"2023-06-23",vk,cpc,freemium-python,2034.00
"2023-06-23",vk,cpc,prof-java,1269.20
"2023-06-23",vk,cpc,base-python,456.80
"2023-06-23",vk,cpc,freemium-java,423.17
"2023-06-23",vk,cpc,prof-frontend,346.09
"2023-06-23",yandex,cpc,prof-frontend,309.71
"2023-06-23",vk,cpc,prof-data-analytics,309.50
"2023-06-23",vk,cpc,freemium-frontend,282.11
"2023-06-23",vk,cpc,prof-python,259.31
"2023-06-23",yandex,cpc,prof-java,257.04
"2023-06-23",yandex,cpc,prof-python,201.17
"2023-06-23",yandex,cpc,prof-data-analytics,189.88
"2023-06-23",yandex,cpc,base-java,152.72
"2023-06-23",yandex,cpc,base-python,125.39
"2023-06-23",yandex,cpc,prof-professions-brand,82.22
"2023-06-23",yandex,cpc,dod-python-java,75.11
"2023-06-23",yandex,cpc,freemium,71.51
"2023-06-23",yandex,cpc,prof-professions-retarget,37.47
"2023-06-24",vk,cpc,freemium-java,861.50
"2023-06-24",vk,cpc,prof-java,705.22
"2023-06-24",vk,cpc,prof-frontend,634.50
"2023-06-24",vk,cpc,freemium-frontend,507.80
"2023-06-24",vk,cpc,freemium-python,378.83
"2023-06-24",vk,cpc,base-python,326.29
"2023-06-24",vk,cpc,prof-python,318.78
"2023-06-24",vk,cpc,prof-data-analytics,308.71
"2023-06-24",yandex,cpc,prof-frontend,305.51
"2023-06-24",yandex,cpc,base-python,303.30
"2023-06-24",yandex,cpc,prof-java,227.76
"2023-06-24",yandex,cpc,prof-python,213.13
"2023-06-24",yandex,cpc,prof-data-analytics,178.10
"2023-06-24",yandex,cpc,base-java,142.38
"2023-06-24",yandex,cpc,prof-professions-brand,88.37
"2023-06-24",yandex,cpc,freemium,54.49
"2023-06-24",yandex,cpc,prof-professions-retarget,37.67
"2023-06-25",vk,cpc,prof-frontend,2030.33
"2023-06-25",vk,cpc,freemium-java,761.50
"2023-06-25",vk,cpc,prof-java,435.14
"2023-06-25",yandex,cpc,prof-frontend,389.55
"2023-06-25",vk,cpc,base-python,352.20
"2023-06-25",vk,cpc,freemium-frontend,317.25
"2023-06-25",vk,cpc,freemium-python,297.86
"2023-06-25",vk,cpc,prof-data-analytics,271.93
"2023-06-25",yandex,cpc,prof-python,264.13
"2023-06-25",yandex,cpc,prof-java,251.21
"2023-06-25",vk,cpc,prof-python,241.68
"2023-06-25",yandex,cpc,prof-data-analytics,204.09
"2023-06-25",yandex,cpc,base-java,181.80
"2023-06-25",yandex,cpc,base-python,131.25
"2023-06-25",yandex,cpc,prof-professions-brand,112.22
"2023-06-25",yandex,cpc,freemium,67.36
"2023-06-25",yandex,cpc,prof-professions-retarget,31.69
"2023-06-26",vk,cpc,freemium-java,1516.00
"2023-06-26",vk,cpc,prof-frontend,1079.75
"2023-06-26",vk,cpc,base-python,628.67
"2023-06-26",vk,cpc,prof-java,470.12
"2023-06-26",yandex,cpc,prof-frontend,356.16
"2023-06-26",vk,cpc,prof-data-analytics,350.25
"2023-06-26",vk,cpc,freemium-frontend,317.25
"2023-06-26",yandex,cpc,prof-java,292.80
"2023-06-26",vk,cpc,freemium-python,281.00
"2023-06-26",vk,cpc,prof-python,276.33
"2023-06-26",yandex,cpc,prof-python,222.18
"2023-06-26",yandex,cpc,base-java,206.31
"2023-06-26",yandex,cpc,base-python,139.30
"2023-06-26",yandex,cpc,prof-data-analytics,130.53
"2023-06-26",yandex,cpc,prof-professions-brand,107.15
"2023-06-26",yandex,cpc,prof-professions-retarget,79.50
"2023-06-26",yandex,cpc,freemium,66.41
"2023-06-27",vk,cpc,prof-frontend,1332.00
"2023-06-27",vk,cpc,freemium-java,761.50
"2023-06-27",vk,cpc,prof-java,599.33
"2023-06-27",yandex,cpc,prof-frontend,385.84
"2023-06-27",vk,cpc,prof-python,292.25
"2023-06-27",vk,cpc,freemium-python,287.86
"2023-06-27",vk,cpc,base-python,267.78
"2023-06-27",vk,cpc,freemium-frontend,230.73
"2023-06-27",yandex,cpc,prof-python,228.22
"2023-06-27",yandex,cpc,prof-java,220.59
"2023-06-27",yandex,cpc,prof-data-analytics,186.63
"2023-06-27",yandex,cpc,base-python,177.09
"2023-06-27",yandex,cpc,base-java,96.28
"2023-06-27",yandex,cpc,prof-professions-brand,90.64
"2023-06-27",yandex,cpc,freemium,57.54
"2023-06-27",yandex,cpc,prof-professions-retarget,20.91
"2023-06-28",vk,cpc,prof-frontend,1104.67
"2023-06-28",vk,cpc,prof-java,719.63
"2023-06-28",vk,cpc,freemium-java,507.00
"2023-06-28",yandex,cpc,prof-frontend,472.72
"2023-06-28",vk,cpc,base-python,386.57
"2023-06-28",vk,cpc,prof-data-analytics,381.00
"2023-06-28",vk,cpc,prof-python,287.87
"2023-06-28",yandex,cpc,dod-qa,279.88
"2023-06-28",yandex,cpc,prof-java,259.36
"2023-06-28",vk,cpc,freemium-python,244.25
"2023-06-28",yandex,cpc,prof-python,241.30
"2023-06-28",yandex,cpc,prof-data-analytics,228.85
"2023-06-28",yandex,cpc,base-java,227.85
"2023-06-28",vk,cpc,freemium-frontend,181.29
"2023-06-28",yandex,cpc,base-python,159.83
"2023-06-28",yandex,cpc,prof-professions-brand,140.91
