"source","medium","campaign","visit_date","visitors_count"
telegram,social,course_completed,"2023-06-08",4
vk,cpm,prof-frontend,"2023-06-08",3
telegram,cpp,base-java,"2023-06-08",3
telegram,cpp,dod-php,"2023-06-08",3
yandex.com,organic,,"2023-06-08",2
telegram,social,hexlet-blog,"2023-06-08",2
telegram,cpp,dod-java,"2023-06-08",2
telegram,cpp,prof-frontend,"2023-06-08",2
search.ukr.net,organic,,"2023-06-08",2
zen,social,hexlet-blog,"2023-06-08",2
vk,social,base-frontend,"2023-06-08",1
vk,social,prof-python,"2023-06-08",1
telegram,social,svitch--ochen-prostaya-konstruktsiya--kotor,"2023-06-08",1
vk,cpp,intensive-python,"2023-06-08",1
vk,social,base-java,"2023-06-08",1
telegram,social,promo,"2023-06-08",1
zen,social,hexlet,"2023-06-08",1
facebook.com,social,buffer,"2023-06-08",1
vk-senler,cpc,dod-professions,"2023-06-08",1
zen,social,all-courses,"2023-06-08",1
vk,cpp,dod-frontend,"2023-06-08",1
vk-senler,cpc,dod-frontend,"2023-06-08",1
vk,cpp,dod-career,"2023-06-08",1
vk,social,prof-data-analyst,"2023-06-08",1
vk,cpc,php,"2023-06-08",1
telegram,social,avtor-napisal-etu-zametku--kogda-odin-iz,"2023-06-08",1
vk,cpc,prof-php,"2023-06-08",1
admitad,cpc,"442763","2023-06-08",1
twitter,social,promo,"2023-06-08",1
facebook,cpm,freemium-en,"2023-06-08",1
vk,social,prof-data-analytics,"2023-06-08",1
telegram.me,social,lyubite-chitat-knigi--nash-marketolog-nata,"2023-06-08",1
telegram,cpm,frontend,"2023-06-08",1
vk,social,dod-php,"2023-06-08",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-08",1
vk,cpc,python,"2023-06-08",1
telegram,cpm,base_java,"2023-06-08",1
vk,cpm,php,"2023-06-08",1
vk,social,dod-java,"2023-06-08",1
twitter,social,hexlet-blog,"2023-06-08",1
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,"2023-06-08",1
instagram,social,hexlet-blog,"2023-06-08",1
zen,social,prof-data-analytics,"2023-06-08",1
google,organic,,"2023-06-09",5370
organic,organic,,"2023-06-09",1800
vk,cpc,prof-python,"2023-06-09",185
vk,cpc,freemium-frontend,"2023-06-09",183
vk,cpc,prof-data-analytics,"2023-06-09",164
