"source","medium","campaign","created_at","leads_count"
yandex,cpc,base-java,"2023-06-21",2
vk,social,all-courses,"2023-06-21",2
yandex,cpc,base-python,"2023-06-21",2
yandex,cpc,dod-java,"2023-06-21",1
yandex,cpc,base-frontend,"2023-06-21",1
vk,cpc,freemium-java,"2023-06-21",1
vk,cpc,prof-java,"2023-06-21",1
yandex,cpc,base-professions-retarget,"2023-06-21",1
telegram,cpp,prof-python,"2023-06-21",1
yandex,cpc,prof-professions-retarget,"2023-06-21",1
google,organic,,"2023-06-22",14
yandex,cpc,prof-python,"2023-06-22",6
vk,cpc,freemium-frontend,"2023-06-22",5
yandex,cpc,freemium,"2023-06-22",5
admitad,cpa,admitad,"2023-06-22",4
yandex,cpc,prof-java,"2023-06-22",3
vk,cpc,prof-python,"2023-06-22",3
vk,cpc,freemium-python,"2023-06-22",3
organic,organic,,"2023-06-22",3
vk,cpc,prof-frontend,"2023-06-22",2
yandex,cpc,prof-frontend,"2023-06-22",2
vk-senler,cpc,freemium,"2023-06-22",2
vk,cpc,prof-java,"2023-06-22",2
yandex,cpc,prof-professions-brand,"2023-06-22",1
yandex,cpc,base-frontend,"2023-06-22",1
vk,social,hexlet-blog,"2023-06-22",1
vk,cpc,base-python,"2023-06-22",1
yandex,cpc,base-python,"2023-06-22",1
yandex,cpc,prof-data-analytics,"2023-06-22",1
yandex,cpc,prof-professions-retarget,"2023-06-22",1
vk,cpc,prof-data-analytics,"2023-06-22",1
google,organic,,"2023-06-23",15
organic,organic,,"2023-06-23",7
yandex,cpc,prof-frontend,"2023-06-23",4
admitad,cpa,admitad,"2023-06-23",4
yandex,cpc,freemium,"2023-06-23",3
yandex,cpc,base-java,"2023-06-23",3
yandex,cpc,prof-python,"2023-06-23",3
telegram,cpp,prof-java,"2023-06-23",2
vk,cpc,prof-frontend,"2023-06-23",2
vk,cpc,freemium-frontend,"2023-06-23",2
yandex,cpc,prof-professions-retarget,"2023-06-23",2
yandex,cpc,base-frontend,"2023-06-23",2
vk,cpc,prof-java,"2023-06-23",2
yandex,cpc,prof-java,"2023-06-23",2
yandex,cpc,dod-professions,"2023-06-23",2
vk,cpc,prof-data-analytics,"2023-06-23",2
vk,cpc,freemium-java,"2023-06-23",1
vk,cpc,freemium-python,"2023-06-23",1
yandex,cpc,prof-data-analytics,"2023-06-23",1
vk,cpc,base-python,"2023-06-23",1
vk,cpc,prof-python,"2023-06-23",1
google,organic,,"2023-06-24",6
admitad,cpa,admitad,"2023-06-24",4
vk,cpc,prof-data-analytics,"2023-06-24",2
yandex,cpc,freemium,"2023-06-24",2
vk,cpc,freemium-java,"2023-06-24",2
yandex,cpc,prof-frontend,"2023-06-24",2
yandex,cpc,prof-java,"2023-06-24",2
organic,organic,,"2023-06-24",1
vk,cpc,prof-java,"2023-06-24",1
yandex,cpc,dod-python-java,"2023-06-24",1
yandex,cpc,prof-professions-brand,"2023-06-24",1
vk,social,hexlet-blog,"2023-06-24",1
yandex,cpc,base-java,"2023-06-24",1
yandex,cpc,base-frontend,"2023-06-24",1
vk,cpc,freemium-python,"2023-06-24",1
yandex,cpc,dod-java,"2023-06-24",1
vk,cpc,prof-python,"2023-06-24",1
google,organic,,"2023-06-25",12
admitad,cpa,admitad,"2023-06-25",7
organic,organic,,"2023-06-25",4
yandex,cpc,prof-frontend,"2023-06-25",2
yandex,cpc,freemium,"2023-06-25",2
vk,cpc,freemium-python,"2023-06-25",1
vk,cpc,prof-java,"2023-06-25",1
vk,cpc,prof-python,"2023-06-25",1
yandex,cpc,dod-professions,"2023-06-25",1
yandex,cpc,dod-java,"2023-06-25",1
yandex,cpc,base-python,"2023-06-25",1
vk,cpc,freemium-frontend,"2023-06-25",1
vk,cpc,base-python,"2023-06-25",1
vk,cpc,prof-frontend,"2023-06-25",1
google,organic,,"2023-06-26",11
organic,organic,,"2023-06-26",9
telegram,cpp,base-java,"2023-06-26",8
yandex,cpc,prof-python,"2023-06-26",4
vk,cpc,prof-data-analytics,"2023-06-26",3
yandex,cpc,freemium,"2023-06-26",2
vk,cpc,prof-java,"2023-06-26",2
vk,cpc,prof-python,"2023-06-26",2
vk,cpc,freemium-frontend,"2023-06-26",1
yandex,cpc,prof-professions-brand,"2023-06-26",1
telegram,cpp,prof-java,"2023-06-26",1
yandex,cpc,base-frontend,"2023-06-26",1
vk,cpc,prof-frontend,"2023-06-26",1
yandex,cpc,dod-python-java,"2023-06-26",1
vk,cpc,freemium-java,"2023-06-26",1
yandex,cpc,base-python,"2023-06-26",1
yandex,cpc,base-java,"2023-06-26",1
yandex,cpc,prof-java,"2023-06-26",1
google,organic,,"2023-06-27",18
yandex,cpc,freemium,"2023-06-27",9
organic,organic,,"2023-06-27",6
vk,cpc,freemium-frontend,"2023-06-27",4
vk,cpc,prof-python,"2023-06-27",3
vk,cpc,prof-java,"2023-06-27",2
yandex,cpc,prof-frontend,"2023-06-27",2
yandex,cpc,prof-python,"2023-06-27",2
vk,cpc,prof-data-analytics,"2023-06-27",2
yandex,cpc,prof-data-analytics,"2023-06-27",1
yandex,cpc,base-frontend,"2023-06-27",1
yandex,cpc,base-python,"2023-06-27",1
yandex,cpc,dod-python-java,"2023-06-27",1
vk,cpc,freemium-python,"2023-06-27",1
yandex,cpc,dod-professions,"2023-06-27",1
yandex,cpc,prof-professions-brand,"2023-06-27",1
yandex,cpc,prof-java,"2023-06-27",1
organic,organic,,"2023-06-28",20
google,organic,,"2023-06-28",16
vk,cpc,prof-python,"2023-06-28",4
vk,cpc,freemium-python,"2023-06-28",4
yandex,cpc,prof-java,"2023-06-28",3
vk,cpc,base-python,"2023-06-28",3
yandex,cpc,base-java,"2023-06-28",2
yandex,cpc,prof-frontend,"2023-06-28",2
vk,cpc,freemium-java,"2023-06-28",2
yandex,cpc,freemium,"2023-06-28",2
vk,cpc,prof-java,"2023-06-28",1
yandex,cpc,prof-professions-retarget,"2023-06-28",1
yandex,cpc,dod-python-java,"2023-06-28",1
yandex,cpc,dod-professions,"2023-06-28",1
yandex,cpc,dod-php,"2023-06-28",1
yandex,cpc,base-python,"2023-06-28",1
google,organic,,"2023-06-29",6
organic,organic,,"2023-06-29",5
vk,cpc,prof-java,"2023-06-29",4
vk,cpc,prof-data-analytics,"2023-06-29",3
vk,cpc,freemium-python,"2023-06-29",3
yandex,cpc,freemium,"2023-06-29",2
vk,cpc,freemium-java,"2023-06-29",2
vk,cpc,prof-python,"2023-06-29",1
vk,cpc,base-python,"2023-06-29",1
yandex,cpc,prof-professions-brand,"2023-06-29",1
telegram,cpp,base-java,"2023-06-29",1
vk,cpc,prof-frontend,"2023-06-29",1
yandex,cpc,base-python,"2023-06-29",1
yandex,cpc,prof-professions-retarget,"2023-06-29",1
yandex,cpc,prof-java,"2023-06-29",1
yandex,cpc,freemium,"2023-06-30",4
google,organic,,"2023-06-30",3
vk,cpc,prof-data-analytics,"2023-06-30",3
yandex,cpc,prof-frontend,"2023-06-30",2
vk,cpc,prof-frontend,"2023-06-30",2
vk,cpc,prof-python,"2023-06-30",2
vk,cpc,freemium-python,"2023-06-30",1
yandex,cpc,prof-python,"2023-06-30",1
yandex,cpc,base-frontend,"2023-06-30",1
telegram,cpp,prof-java,"2023-06-30",1
yandex,cpc,base-java,"2023-06-30",1
telegram,cpp,prof-python,"2023-06-30",1
vk,cpc,freemium-java,"2023-06-30",1
